instrumentid,Name,Latitude,Longitude,y,m,d,h,grafNO2
1,Hjortnes,59.91132000,10.70407000,2017,1,2,9,152.096364
1,Hjortnes,59.91132000,10.70407000,2017,1,2,10,153.375041
1,Hjortnes,59.91132000,10.70407000,2017,1,2,11,147.099459
1,Hjortnes,59.91132000,10.70407000,2017,1,2,12,122.760755
1,Hjortnes,59.91132000,10.70407000,2017,1,2,13,128.672985
1,Hjortnes,59.91132000,10.70407000,2017,1,2,14,175.127962
1,Hjortnes,59.91132000,10.70407000,2017,1,2,15,156.563225
1,Hjortnes,59.91132000,10.70407000,2017,1,2,16,140.015978
1,Hjortnes,59.91132000,10.70407000,2017,1,2,17,150.531575
1,Hjortnes,59.91132000,10.70407000,2017,1,2,18,136.772436
1,Hjortnes,59.91132000,10.70407000,2017,1,2,19,124.515220
1,Hjortnes,59.91132000,10.70407000,2017,1,2,20,109.730960
1,Hjortnes,59.91132000,10.70407000,2017,1,2,21,97.242425
1,Hjortnes,59.91132000,10.70407000,2017,1,2,22,90.471129
1,Hjortnes,59.91132000,10.70407000,2017,1,2,23,78.138915
1,Hjortnes,59.91132000,10.70407000,2017,1,3,0,72.687232
1,Hjortnes,59.91132000,10.70407000,2017,1,3,1,63.832748
1,Hjortnes,59.91132000,10.70407000,2017,1,3,2,63.182249
1,Hjortnes,59.91132000,10.70407000,2017,1,3,3,59.337617
1,Hjortnes,59.91132000,10.70407000,2017,1,3,4,82.305339
1,Hjortnes,59.91132000,10.70407000,2017,1,3,5,100.930260
1,Hjortnes,59.91132000,10.70407000,2017,1,3,6,106.699292
1,Hjortnes,59.91132000,10.70407000,2017,1,3,7,104.302626
1,Hjortnes,59.91132000,10.70407000,2017,1,3,8,104.986198
1,Hjortnes,59.91132000,10.70407000,2017,1,3,9,98.826411
1,Hjortnes,59.91132000,10.70407000,2017,1,3,10,83.646830
1,Hjortnes,59.91132000,10.70407000,2017,1,3,11,91.065637
1,Hjortnes,59.91132000,10.70407000,2017,1,3,12,99.066555
1,Hjortnes,59.91132000,10.70407000,2017,1,3,13,110.428114
1,Hjortnes,59.91132000,10.70407000,2017,1,3,14,130.346256
1,Hjortnes,59.91132000,10.70407000,2017,1,3,15,137.979051
1,Hjortnes,59.91132000,10.70407000,2017,1,3,16,140.345702
1,Hjortnes,59.91132000,10.70407000,2017,1,3,17,129.669583
1,Hjortnes,59.91132000,10.70407000,2017,1,3,18,119.356368
1,Hjortnes,59.91132000,10.70407000,2017,1,3,19,112.746204
1,Hjortnes,59.91132000,10.70407000,2017,1,3,20,121.636912
1,Hjortnes,59.91132000,10.70407000,2017,1,3,21,98.798563
